DATETIME,DISCHARGE,POC,DOC,DIC
2016-07-27 00:00:00,2.4,0.752888889,4.51,78.23
2016-07-28 00:00:00,2.3,,,
2016-07-29 00:00:00,2.4,,,
2016-07-30 00:00:00,2.5,,,
2016-07-31 00:00:00,2.3,,,
2016-08-01 00:00:00,2.3,0.591555556,2.84,79.99
2016-08-02 00:00:00,2.2,,,
2016-08-03 00:00:00,2.3,,,
2016-08-04 00:00:00,2.5,,,
2016-08-05 00:00:00,6.2,,,
2016-08-06 00:00:00,3.2,,,
2016-08-07 00:00:00,2.6,,,
2016-08-08 00:00:00,2.5,,,
2016-08-09 00:00:00,2.5,,,
2016-08-10 00:00:00,2.4,0.430222222,2.37,80.48
2016-08-11 00:00:00,2.5,,,
2016-08-12 00:00:00,2.7,,,
2016-08-13 00:00:00,3.2,,,
2016-08-14 00:00:00,2.9,,,
2016-08-15 00:00:00,2.8,,,
2016-08-16 00:00:00,2.8,,,
2016-08-17 00:00:00,3.4,,,
2016-08-18 00:00:00,3.1,0.376444444,3.16,81.87
2016-08-19 00:00:00,4.1,,,
2016-08-20 00:00:00,5.1,,,
2016-08-21 00:00:00,4.5,,,
2016-08-22 00:00:00,4.3,0.376444444,4.15,82.58
2016-08-23 00:00:00,4.1,,,
2016-08-24 00:00:00,4.9,,,
2016-08-25 00:00:00,4.9,,,
2016-08-26 00:00:00,4.4,,,
2016-08-27 00:00:00,8.6,,,
2016-08-28 00:00:00,8.7,,,
2016-08-29 00:00:00,5.7,0.430222222,5.14,82.37
2016-08-30 00:00:00,5.3,,,
2016-08-31 00:00:00,5.2,,,
2016-09-01 00:00:00,5,,,
2016-09-02 00:00:00,4.9,,,
2016-09-03 00:00:00,4.9,,,
2016-09-04 00:00:00,4.9,,,
2016-09-05 00:00:00,4.9,,,
2016-09-06 00:00:00,5,,,
